character,line
Phil,Reckon we'll be landing soon.
Claire,"Phil, honey, you promised... not till we got there."
Phil,"This year, we're going to a dude ranch with the whole family."
Claire,Mm-hmm. The family.
Haley,What if Dylan buys his own ticket? We'll be sleeping in separate cabins.
Phil,What if Dylan and I share a horse?
Claire,"Mm, I hate landing."
Gloria,"Wow! Oh, my goodness."
Jay,What are you doing?
Gloria,I want my ears to pop.
Manny,Try putting a little Rouge on 'em. Nobody gets me.
Mitchell,"Wow. Isn't this beautiful, little cowgirl?"
Cameron,"You hate her sparkly outfit, don't you?"
Mitchell,"No, I told you, it's fine. I just didn't like you wearing a matching one."
Mitchell,"So we haven't told the family yet, but we've decided to adopt a baby boy."
Cameron,"From America this time. You might say we're ""buying domestic."""
Mitchell,In private... You might say that in private.
Cameron,Our adoption attorney told us it would be a good idea to make a photo book to show prospective moms.
Mitchell,"But he thought that Cam's version was a little too ""artsy,"" so we've decided to take a few rugged shots at the ranch to, you know, balance it out."
Cameron,I don't think it need balancing out.
Mitchell,Really?
Cameron,"It's called ""Production value."""
Mitchell,Horse.
Gloria,"Look, Jay! So beautiful!"
Jay,"Your ears haven't popped yet, huh?"
Gloria,I'm like the horse whisperer. But something is making this one skittish.
Haley,They're amazing.
Claire,Where's a cliff when you need one?
Jay,"Look, kids! A real life cowboy!"
Luke,Oh. Come see. Come see.
Claire,Uh-oh.
Luke,What's he doing?
Claire,"Oh, my."
Manny,"Uh, do we book spa treatments through you or..."
Manny,That wasn't an answer.
Gloria,What?
Jay,That's my wife Gloria.
Jay,"These, uh, these nicknames... are they set in stone?"
Phil,"I heard word of trouble in these parts. Pull! That oughta fix it, eh, Jay?"
Jay,You got a piece of it.
Phil,"I've been practicing like crazy, all my cowboy skills... shootin', ropin'. pancake eatin'. Why? Because sometimes I feel like Jay doesn't respect me as a man."
Phil,"It's just that when you say, ""Phil is my son-in-law,"" it sounds like you're saying, ""Phyllis, my son-in-law."""
Jay,That's ridiculous.
Phil,"Okay, who's your son-in-law?"
Jay,Phyllis.
Phil,"I'm not asking for a hug. I just want to get that look of newfound respect, like... Or... Or... mm. Yeah."
Phil,"Check it out. Two birds, one leg. Pull it! Not bad, eh, Old-timer?"
Gloria,What?
Mitchell,"Oh, me. Me."
Cameron,"Oh, this is good. This is good. Tres macho. No smile. Don't smile. Good."
Mitchell,"Wait. Do I say ""pull""? Sorry. Sorry."
Jay,"Mitchell, why don't you go find Manny at the spa? Wouldn't that be more fun?"
Mitchell,Yeah.
Mitchell,"I realized that if I was gonna raise a boy, I needed to butch up my life. You know, I wanted to be able to teach my son all the things that my Dad taught Claire."
Luke,"Hey, Hollywood."
Manny,I don't love that.
Luke,Wanna see something?
Manny,"Oh, my gosh. Is that a firecracker?"
Luke,Shh! Now I just need to find the perfect thing to blow up.
Manny,Is that thing even legal?
Luke,"Not here. It's from Germany. If they had this during the war, right now we'd all be knee-deep in strudel."
Alex,Watch it!
Alex,Trying to.
Alex,I'm not surprised.
Alex,"I'd rather see you get hit by one, but..."
Gloria,Jay! Is this like the lobster?! Do I get to pick one for dinner? Because this one looks very tender.
Jay,"Hey, something's wrong with my horse. She's veering left. When this happened to my Uncle, it was a stroke."
Jay,"She's deaf, but I can hear ya."
Cameron,Why are you riding that way?
Mitchell,I'm afraid that cow over there might bite me.
Cameron,"Oh, yes, he's gonna come up and bite you because your leg looks so desirable with those... are those canvas?"
Claire,"Okay, Phil, ease that one back over towards me."
Phil,Got it.
Claire,Ease him back this way.
Phil,"Hey! Piece of cake, huh, Jay? Huh?"
Phil,Which one's Bossy?
Phil,Hilarious.
Haley,"Go, Mom! Whoo!"
Claire,"Oh, I wish I had a rock."
Phil,Hey. It wouldn't kill you to be nice to Dylan.
Claire,"It might. But, honey, I don't know why you always stick up for him. Haley can do so much better."
Phil,Because I know what it's like to fall for a girl whose dad thinks I'm not good enough.
Claire,"All right, you're right. I can make more of an effort."
Phil,That's the woman I love.
Phil,No. Sorry. I was just talking to Bossy.
Claire,Phil!
Phil,I'm sorry.
Gloria,"Jay, look! I got this one! I got this one!"
Jay,"She's veering left again. When we get back, I'm gonna see if she can track a pencil with her eyes."
Alex,"Okay, Lily, I'm going to push you one more time. Now don't kick me, okay? Aah! Oh! Lily! I said don't kick me. Okay?"
Alex,You are an idiot.
Alex,Why are you following me?
Alex,"I really, really don't appreciate you calling me ""gorgeous."" I just want to enjoy time with my family, so if you don't mind... mm!"
Alex,"No, the boy kissed me. Okay, Lily? The boy kissed me."
Claire,"Okay. Hey, Dylan."
Claire,I was wondering if we could have a little chat.
Claire,"No, no. It's the... the opposite of that."
Claire,"No, I, um, I want you to know how glad I am that you're here."
Claire,"Oh. Dylan, no. I'm sorry. I-I like you. I-I like you a lot. I just... It's complicated because Haley's my daughter."
Claire,"Oh, my God. Okay, we... there's... no, no. I merely meant that I'm sorry if I made you feel unwelcome."
Claire,So awkward.
Claire,Yes?
Claire,Yeah.
Claire,Mm-hmm.
Claire,Okay. Good talk.
Gloria,♪ She'll be running down the mountain. she'll be running down the Mountain when she comes ♪
Jay,The song ended two minutes ago.
Jay,Really? You notice the crickets left? Anyone want more water?
Mitchell,"Oh, Dad, I'll take one."
Jay,Heads up.
Claire,"Oh, my gosh."
Mitchell,Oh. It was... it was dark. I-I couldn't see it. Thank you.
Manny,So did you set off the firecracker yet?
Luke,"When I do, you won't have to ask. First, all the electronics will go out, then comes the heat flash. Afterwards, the living will envy the dead."
Manny,"And yet I'm the one on the ""No-fly"" list."
Cameron,You know what? Maybe next time I'll just catch it and then hand it to you.
Mitchell,"Oh, okay. Yeah, let's do that. You... you do everything, and I'll do nothing."
Cameron,Something on your mind?
Mitchell,This isn't the right place to talk about it.
Cameron,Okay.
Mitchell,I-I'm s... I'm not sure if we should have another baby.
Cameron,What? Are you serious?
Mitchell,I think that we might be rushing into this.
Cameron,Rushing into... we've been working...
Claire,"No, no."
Claire,"No. No, no, no, no, no. No proposals. Not now. Not gonna happen. She's a child, so..."
Haley,Mom!
Claire,You're still in high school!
Claire,"Not then. Not now. Not ever. Seriously, what are you two gonna live off of? The... the... the royalties from the horsey song? Put it back in your pocket."
Haley,Would you stop it?
Claire,"No, I won't. I won't."
Haley,"Dylan, wait! I hate you!"
Claire,"Oh, come on. Haley, get back here! Phil, anything?"
Phil,"I think you said it all, Claire. You want me to rope her? I can, you know."
Cameron,"Sweetie, here. Here we go. One, two, three. One, two, three. Gone."
Cameron,It's not back there.
Cameron,Yes.
Mitchell,Hey.
Cameron,Where have you been?
Mitchell,I-I slept on the couch in the lodge. I know you didn't want to have a big fight last night.
Cameron,"Well, I'm ready now."
Mitchell,"Cam, I'm sorry. Look, what if I can't do the father-son stuff? The hunting, the... the sports, the Three Stooges? You know what happens in real life when someone gets hit in the head with a ladder? They go to the hospital and they get an MRI. Never see that scene."
Cameron,"I think you're overthinking this. You know, I love sports, I love the Stooges. We've got this covered."
Mitchell,"No. No, you... you got it covered, but I'm just stuck on the sidelines, pretending to understand the rules, and... You know, my dad was a rough- and-tumble guy, and I just... I could never relate to him. And I don't know. I just don't think I could handle disappointing... two generations."
Cameron,I think you're more masculine than you give yourself credit for.
Mitchell,Who puts a birdhouse next to a porch?
Gloria,"Claire, I know that you're worried that Dylan is gonna break Haley's heart, but I see in his eyes that he's gonna stick with her forever. No matter what, he's always going to be with her. On your deathbed..."
Claire,Okay. All right. I can't take this anymore. I'm gonna go find her.
Jay,"No. You push too hard, you chase her right into his arms, you'll end up with a boob for a son-in-law. Believe me, you don't want that."
Phil,What's that supposed to mean?
Jay,What?
Haley,"Hey, have you guys seen Dylan?"
Claire,No. No. Why?
Haley,"I'm not talking to you. He said he was going out for a walk last night, and no one's seen him since."
Phil,"Sweetheart, I'm sure he's fine. Maybe after last night, he just went home."
Manny,Doubt it. He left his luggage.
Haley,"We have to do something. If he doesn't eat five times a day, he gets spacey."
Claire,What would that even look like?
Phil,We'll find him. Hank? We got a situation here!
Alex,We need to talk.
Alex,You stole my first kiss.
Alex,"I had it all planned out. It was supposed to be special, someone with a high GPA and a bright future, not a Mario brother."
Alex,"Well, keep it. I don't... I don't want it anymore. What am I doing?"
Haley,Can I go with my Dad instead?
Phil,Buffalo Phil... worth the wait.
Jay,Maybe I should ride up there with her.
Haley,"""Another""?"
Jay,"Phil, help me saddle my horse, will ya?"
Phil,"Well, look who's suddenly needed by his father-in-law. Phyllis. Phil... is."
Luke,"Hey, Uncle Mitch. Whatcha doing?"
Mitchell,"Oh, hey. Just... just thinkin'."
Luke,"You know, I've been meaning to tell you, you're a super fun Uncle. And I'm saying this as a boy."
Mitchell,"Uncle Cameron sent you over here, didn't he?"
Luke,"What? That's hilarious. No, I love how you and me can joke like this."
Mitchell,"Okay, Luke, look, I don't know how much Cam told you, but I don't think this is a problem that you can help me with. It's..."
Luke,"Okay, good. I've got my own problem."
Mitchell,What? What's that?
Luke,Can you keep a secret?
Mitchell,"I kept a pretty big one for 22 years, so..."
Luke,"I've got this new firecracker, and I can't decide what to blow up."
Mitchell,"Oh, Luke, that's dangerous."
Luke,I know. That's what's fun about it.
Mitchell,I don't get boys. What is so great about destroying things?
Luke,It turns stuff into flying chunks of stuff.
Mitchell,"Okay, no. No, g-give it to me. Come on, give it to me."
Luke,Fine. I take it back. You're not that fun.
Mitchell,"All right, hey, look, um, we'll do it together, all right?"
Luke,You just made the best decision of your life.
Mitchell,Okay. Come on.
Jay,Damn it! Buttercup! What the hell's wrong with this horse?
Phil,Jay. Wow. I want to talk to you about that son-in-law crack you made at breakfast.
Jay,"Oh, I didn't mean anything by that."
Phil,"I think you did. I get that I wasn't your first choice to marry Claire, but it's been 18 years, and there hasn't been a day when I wasn't a loyal husband to your daughter and a great dad to your grandkids. So if we've still got a problem, now it's your problem."
Jay,"Phil, wait up. Let me ask you something, man to man."
Phil,Okay.
Jay,"You notice anything funny about the... Hank character and, uh..."
Phil,"Gloria? Yeah, He's hitting on her. Why?"
Jay,I knew it.
Phil,Where are you going?
Jay,"Destiny Ridge. Buttercup, ha! Buttercup, hiya! Seriously?"
Mitchell,"Okay. Okay, it's clear."
Luke,"After this, we're gonna have some angry birds."
Mitchell,"Yeah. It's gonna be ""Bye bye Birdie."" It's a big musical from the '60s. No. Forget it. What you said. Okay. Okay, go."
